index,sender_name,dateTime,timeElapsed,answerTime_s,answerTime_m
1166,Klara,2020-09-29T18:01:09Z,49605153.25999999,99.54699993133545,1.6591166655222576
1167,Jonathan,2020-09-29T17:59:30Z,49605053.71300006,3116.7960000038147,51.946600000063576
1168,Klara,2020-09-29T17:07:33Z,49601936.917000055,3105.4610002040863,51.75768333673477
1169,Jonathan,2020-09-29T16:15:47Z,49598831.45599985,292.19999980926514,4.869999996821085
1170,Klara,2020-09-29T16:10:55Z,49598539.25600004,64.66400003433228,1.077733333905538
1171,Jonathan,2020-09-29T16:09:50Z,49598474.59200001,6443.223000049591,107.38705000082652
1172,Klara,2020-09-29T14:22:27Z,49592031.36899996,4448.81299996376,74.14688333272935
1173,Jonathan,2020-09-29T13:08:18Z,49587582.555999994,13119.213000059128,218.65355000098546
1174,Klara,2020-09-29T09:29:39Z,49574463.342999935,2460.898999929428,41.014983332157136
1175,Jonathan,2020-09-29T08:48:38Z,49572002.444000006,NA,NA
1176,Jonathan,2020-09-29T08:48:10Z,49571973.91499996,999.180999994278,16.6530166665713
1177,Klara,2020-09-29T08:31:31Z,49570974.73399997,3521.444999933243,58.69074999888738
1178,Jonathan,2020-09-29T07:32:49Z,49567453.289000034,934.8220000267029,15.580366667111715
1179,Klara,2020-09-29T07:17:14Z,49566518.46700001,177.42400002479553,2.9570666670799257
1180,Jonathan,2020-09-29T07:14:17Z,49566341.04299998,26.993000030517578,0.4498833338419596
1181,Klara,2020-09-29T07:13:50Z,49566314.04999995,NA,NA
1182,Klara,2020-09-29T07:13:11Z,49566275.549000025,15.907000064849854,0.26511666774749754
1183,Jonathan,2020-09-29T07:12:56Z,49566259.64199996,64.90599989891052,1.081766664981842
1184,Klara,2020-09-29T07:11:51Z,49566194.73600006,NA,NA
1185,Klara,2020-09-29T07:07:55Z,49565959.214999914,426.45499992370605,7.107583332061767
1186,Jonathan,2020-09-29T07:00:49Z,49565532.75999999,NA,NA
1187,Jonathan,2020-09-29T07:00:11Z,49565494.69300008,NA,NA
1188,Jonathan,2020-09-29T07:00:03Z,49565487.49600005,NA,NA
1189,Jonathan,2020-09-29T06:58:51Z,49565415.60500002,43.53999996185303,0.7256666660308838
1190,Klara,2020-09-29T06:58:08Z,49565372.06500006,NA,NA
1191,Klara,2020-09-29T06:57:55Z,49565359.3269999,NA,NA
1192,Klara,2020-09-28T14:05:20Z,49504604.41199994,1020.8420000076294,17.01403333346049
1193,Jonathan,2020-09-28T13:48:19Z,49503583.56999993,481.07099986076355,8.017849997679393
1194,Klara,2020-09-28T13:40:18Z,49503102.49900007,NA,NA
1195,Klara,2020-09-27T21:03:44Z,49443307.741999865,368.885999917984,6.148099998633067
1196,Jonathan,2020-09-27T20:57:35Z,49442938.85599995,NA,NA
1197,Jonathan,2020-09-27T20:57:11Z,49442915.28699994,111.36500000953674,1.856083333492279
1198,Klara,2020-09-27T20:55:20Z,49442803.92199993,NA,NA
1199,Klara,2020-09-27T20:53:06Z,49442670.08899999,2208.2320001125336,36.80386666854223
1200,Jonathan,2020-09-27T20:16:18Z,49440461.856999874,201.73399996757507,3.362233332792918
1201,Klara,2020-09-27T20:12:56Z,49440260.12299991,1937.766000032425,32.29610000054041
1202,Jonathan,2020-09-27T19:40:38Z,49438322.356999874,1230.4089999198914,20.506816665331524
1203,Klara,2020-09-27T19:20:08Z,49437091.947999954,NA,NA
